,city_name,country_code,latitude,longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,gornopravdinsk,ru,60.05,69.9,34.41,96,100,10.22,1619812302
1,thompson,ca,55.75,-97.866667,42.8,33,90,6.91,1619812302
2,yellowknife,ca,62.45,-114.35,33.01,93,90,11.5,1619812302
3,rikitea,pf,-23.1202778,-134.9691667,78.87,77,77,20.09,1619812303
4,palabuhanratu,id,-6.9875,106.551389,80.01,94,47,2.73,1619812303
5,mataura,pf,-23.3666667,-149.4666667,72.86,75,100,16.17,1619812303
6,ushuaia,ar,-54.8,-68.3,41,81,75,1.01,1619812206
7,sogne,no,58.083333,7.816667,45,61,90,3.44,1619812303
8,punta arenas,cl,-53.15,-70.916667,42.8,93,90,8.05,1619812304
9,busselton,au,-33.652489,115.345497,51.01,98,98,3.78,1619812304
10,ambulu,id,-8.3504,113.6069,74.12,87,62,2.59,1619812304
11,nanortalik,gl,60.1166667,-45.2166667,41.81,65,10,5.28,1619812305
12,dongning,cn,44.062188,131.120752,40.51,49,99,2.26,1619812305
13,praya,id,-8.705362,116.270357,73.4,88,20,1.99,1619812305
14,teya,ru,60.377778,92.626667,36.28,95,100,10.69,1619812305
15,khatanga,ru,71.966667,102.5,29.91,94,99,8.43,1619812306
16,hobart,au,-42.883209,147.331665,48.2,81,12,9.22,1619812306
17,hermanus,za,-34.418696,19.234464,57.99,71,0,5.99,1619812306
18,alamor,ec,-4.0333333,-80.0333333,80.6,74,90,5.75,1619812306
19,mitsamiouli,km,-11.3847222,43.2844444,82.18,76,8,3.27,1619812307
20,grand river south east,mu,-20.2861111,57.7758333,78.01,83,20,11.5,1619812307
21,axim,gh,4.8683333,-2.2413889,82,78,76,6.78,1619812307
22,hami,cn,42.8,93.45,72.7,13,32,4.38,1619812308
23,namibe,ao,-15.196111,12.152222,75.25,77,28,5.46,1619812308
24,illoqqortoormiut,gl,70.4833333,-21.9666667,28.85,89,99,1.39,1619812308
25,kapaa,us,22.0783333,-159.3219444,75.2,73,75,13.8,1619812308
26,alofi,nu,-19.0166667,-169.9166667,78.8,94,100,2.3,1619812309
27,narsaq,gl,77.3025,-68.8425,36.03,68,93,2.15,1619812309
28,naregal,in,15.583333,75.816667,83.8,49,0,8.12,1619812309
29,dikson,ru,73.506944,80.546389,4.15,95,75,10,1619812310
30,jamestown,sh,-15.9333333,-5.7166667,71.53,75,12,12.24,1619812310
31,tasiilaq,gl,65.6,-37.6333333,32,86,20,9.22,1619812310
32,silver city,us,32.7700000,-108.2797222,70,21,1,5.75,1619812311
33,souillac,mu,-20.5166667,57.5166667,77,83,20,11.5,1619812311
34,leninsk,ru,54.903056,59.8675,35.1,72,25,3.69,1619812311
35,nuuk,gl,64.1833333,-51.75,33.8,100,20,6.91,1619812311
36,ilulissat,gl,69.2166667,-51.1,39.2,56,20,3.44,1619812312
37,port-gentil,ga,-0.7166667,8.7833333,82.4,83,40,4.61,1619812312
38,ribeira grande,pt,38.516667,-28.7,62.6,67,75,6.91,1619812312
39,samusu,ws,-13.9666667,-171.3666667,82.67,76,9,11.36,1619812313
40,qasigiannguit,gl,68.8166667,-51.1833333,39.2,56,20,3.44,1619812313
